,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
1004,University of Michigan - Ann Arbor (UM),Neuroscience Graduate Program,1.42,2019-2020,1st,,1,2019,32739,32739,0,0,32739,Neuroscience Graduate Program,Other,low,0,0
1005,University of California - Santa Barbara (UCSB),Biomolecular Science and Engineering,1.09,2017-2018,6th and up,,6,2017,28500,28500,0,0,28500,Biomolecular Science and Engineering,Other,low,0,0
1006,University of Delaware (UD),Chemistry,0.98,2017-2018,4th,,4,2017,25000,26000,0,0,26000,Chemistry,Chemistry,low,1000,1000
1007,Northwestern University (NU),Engineering Sciences And Applied Mathematics,1.16,2019-2020,1st,,1,2019,28180,0,25180,3000,28180,Engineering Sciences And Applied Mathematics,Other,high,0,0
1008,Purdue University - West Lafayette,Psychological Sciences,0.83,2019-2020,4th,Summer funding not guaranteed but virtually always available via teaching/grants/fellowships,4,2019,17500,0,17500,0,17500,Psychological Sciences,Other,high,0,0
1009,University of California - Berkeley,Psychology/PhD,1.26,2019-2020,1st,,1,2019,35000,35000,0,0,35000,Psychology/PhD,Other,low,0,0
1010,University of California - Santa Barbara (UCSB),Physics,1.29,2018-2019,6th and up,,6,2018,34000,34000,0,0,34000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
1011,University of Tennessee - Knoxville,Nuclear Engineering ,1.79,2019-2020,1st,"Includes tuition waiver and health insurance, but not dental or vision",1,2019,38000,40000,0,0,40000,Nuclear Engineering ,Other,low,2000,2000
1013,Rutgers the State University of New Jersey - New Brunswick,Higher Education PhD,0.77,2018-2019,2nd,"This is a fellowship. I am able to work part-time for hourly pay in addition to this fellowship stipend. Still, if I didn't have a partner who was further in his career who could supplement my income, there's no way I could work as few hours for my PT job and still afford to live. The cost of living in NJ is insane and my pay is not enough for that.",2,2018,19800,22000,0,0,22000,Higher Education PhD,Other,low,2200,2200
1014,National Institutes of Health (NIH),Gpp ,1.35,2019-2020,5th,,5,2019,40959,40959,0,0,40959,Gpp ,Other,low,0,0
1016,Ohio State University (OSU),Chemistry,1.1,2002-2003,2nd,,2,2002,18600,18600,0,0,18600,Chemistry,Chemistry,low,0,0
1019,Georgia Institute of Technology (Georgia Tech),ECE,0.1,2019-2020,1st,,1,2019,2417,2417,0,0,2417,ECE,Other,low,0,0
1020,Stony Brook University - SUNY,Music,0.72,2018-2019,3rd,,3,2018,20000,0,20000,0,20000,ArtsAndTheology,ArtsAndTheology,high,0,0
1021,Stanford University (SU),Graduate School of Business,1.53,2018-2019,4th,,4,2018,44000,44000,0,0,44000,Graduate School of Business,Other,low,0,0
1022,Brown University,economics,1.36,2018-2019,3rd,,3,2018,31000,31000,0,0,31000,BusinessAndManagement,BusinessAndManagement,low,0,0
1024,Montana State University (MSU),History,0.82,2019-2020,2nd,"Tuition waiver, but no health insurance of any variety, no leave policy",2,2019,17210,0,18290,0,18290,HistPolSoc,HistPolSoc,high,1080,1080
1026,University of Colorado - Boulder (UCB),Communication,1.14,2019-2020,2nd,,2,2019,29000,0,26000,5000,31000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,2000,2000
1027,Yale University (YU),Interdepartmental Neuroscience Program,1.48,2019-2020,1st,,1,2019,36550,36550,0,0,36550,Interdepartmental Neuroscience Program,Other,low,0,0
1028,Bowling Green State University (BGSU),College of Musical Arts,0.67,2016-2017,4th,,4,2016,12500,0,12500,0,12500,College of Musical Arts,Other,high,0,0
1029,Vanderbilt University,Computer Science,1.23,2016-2017,1st,,1,2016,28200,28200,0,0,28200,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
1030,Columbia University (CU),Graduate School of Arts and Sciences,1.28,2019-2020,5th,,5,2019,38000,38000,0,0,38000,Graduate School of Arts and Sciences,Other,low,0,0
1031,University of California - Berkeley,Agricultural and Resource Economics,0.24,2018-2019,5th,,5,2018,6600,0,2400,4200,6600,Agricultural and Resource Economics,Other,low,0,0
1032,Columbia University (CU),Environment health ,0.7,2006-2007,1st,,1,2006,18500,19500,0,0,19500,Environment health ,Other,low,1000,1000
1034,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,0.43,2017-2018,4th,,4,2017,11000,11000,0,0,11000,Bloomberg School of Public Health/PhD in Health Policy and Management ,Other,low,0,0
1035,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,0.43,2016-2017,3rd,,3,2016,11000,11000,0,0,11000,Bloomberg School of Public Health/PhD in Health Policy and Management ,Other,low,0,0
1036,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,0.89,2016-2017,2nd,,2,2016,22900,22900,0,0,22900,Bloomberg School of Public Health/PhD in Health Policy and Management ,Other,low,0,0
1037,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,0.93,2015-2016,1st,,1,2015,23900,23900,0,0,23900,Bloomberg School of Public Health/PhD in Health Policy and Management ,Other,low,0,0
1038,Yale University (YU),Experimental Pathology,1.48,2018-2019,4th,,4,2018,36550,36550,0,0,36550,Experimental Pathology,Other,low,0,0
1039,University of Southern California (USC),English,1.24,2018-2019,4th,,4,2018,32000,32000,0,0,32000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
1040,University of Oregon (UO),Anthropology ,0.61,2018-2019,1st,Health care is included but you have to pay for summer coverage. ,1,2018,12817,0,13000,0,13000,Anthropology ,Other,high,183,183
1041,Boston University (BU),Management,1.14,2013-2014,2nd,,2,2013,30100,0,27000,3600,30600,BusinessAndManagement,BusinessAndManagement,high,500,500
1042,Boston University (BU),Management,1.29,2012-2013,1st,,1,2012,34000,0,27000,7500,34500,BusinessAndManagement,BusinessAndManagement,high,500,500
1043,University of Arkansas - Little Rock (UALR),Criminal Justice,0.75,2018-2019,3rd,"I am an international student therefore I have to pay student fees and health insurance every semester. This school year the dean decided to Change the pay structure. Essentially we are on two 4 month stipends. Our employment with the university is terminated in December and appointment back again in January, which means we dont get a pay for 6 weeks over Christmas.  The net amount includes a tuition waiver",3,2018,15621,19365,0,0,19365,Criminal Justice,Other,low,3744,3744
1044,University of California - Irvine (UCI),Education,0.89,2018-2019,3rd,This is for work in a research assistantship ,3,2018,25998,25998,0,0,25998,Education,Education,low,0,0
1045,University of Kansas (KU),Geography,1.17,2018-2019,2nd,,2,2018,24000,24500,0,0,24500,Geography,Geography,low,500,500
1046,Louisiana State University - Baton Rouge,Geography,0.53,2019-2020,1st,,1,2019,11450,0,15050,0,15050,Geography,Geography,high,3600,3600
1047,University of Michigan - Ann Arbor (UM),Robotics,1.32,2019-2020,2nd,,2,2019,30500,30500,0,0,30500,Robotics,Other,low,0,0
1048,Mount Sinai School of Medicine,PhD program,1.31,2019-2020,5th,"Basic health insurance included, vision/dental is additional $",5,2019,39000,39000,0,0,39000,PhD program,Other,low,0,0
1049,University of Minnesota - Twin Cities (UM),Graduate Program in Neuroscience,1.31,2018-2019,5th,"Health insurance fees amount to ~$300/year. Tuition and fees are paid for for me, but it depends on your grant support.",5,2018,30000,30000,0,0,30000,Graduate Program in Neuroscience,Other,low,0,0
1050,Wayne State University,Computer Science,0.9,2019-2020,1st,,1,2019,18712,0,18712,0,18712,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
1052,University of Chicago (UC),Computational Neuroscience,1.32,2019-2020,4th,,4,2019,32000,32000,0,0,32000,Computational Neuroscience,Other,low,0,0
1053,University of Iowa (UI),Education Policy and Leadership ,0.43,2019-2020,1st,,1,2019,9500,0,10000,0,10000,Education Policy and Leadership ,Other,high,500,500
1056,Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,1.43,2018-2019,3rd,,3,2018,40051,40391,0,0,40391,Brain and Cognitive Sciences,Other,low,340,340
1057,Duke University (DU),Religion,1.55,2019-2020,3rd,This stipend represents a base stipend (~$24k/yr) plus an additional four-year fellowship from the grad school (~$5k/yr). The $5500 is an additional summer fellowship through our department. My total stipend is about $34k. We also have health insurance that we do not pay out of pocket for.,3,2019,34350,0,28850,5500,34350,ArtsAndTheology,ArtsAndTheology,high,0,0
1061,Michigan State University (MSU),Earth andEnvironmental sciences ,1.66,2018-2019,4th,,4,2018,33980,34000,0,0,34000,Earth andEnvironmental sciences ,Other,low,20,20
1062,University of Minnesota - Twin Cities (UM),Plant and Microbial biology ,1.17,2018-2019,1st,,1,2018,26800,26800,0,0,26800,Plant and Microbial biology ,Other,low,0,0
1063,Duke University (DU),Biology/Genetics & Genomics,1.41,2019-2020,4th,I can't remember exactly how much our stipend is before tax.... more than $31k but less than $32k.,4,2019,31300,31300,0,0,31300,Biology/Genetics & Genomics,Other,low,0,0
1065,The Catholic University of America,School of Theology and Religious Studies,0.58,2018-2019,4th,Tuition is fully covered ,4,2018,17785,0,18000,0,18000,School of Theology and Religious Studies,Other,high,215,215
1066,University of Michigan - Ann Arbor (UM),Musicology,0.94,2018-2019,4th,"8 month contract includes tuition, health insurance/dental, other benefits",4,2018,21778,0,21778,0,21778,ArtsAndTheology,ArtsAndTheology,high,0,0
1067,Rutgers the State University of New Jersey - New Brunswick,English,0.88,2018-2019,5th,"This is on fellowship; on a TA/GA , stipend is about 26,000",5,2018,22700,0,23000,0,23000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,300,300
1068,Florida State University (FSU),"Nutrition, Food, and Exercise Sciences",1.07,2018-2019,1st,School insurance covered at 100%,1,2018,25000,25000,0,0,25000,"Nutrition, Food, and Exercise Sciences",Other,low,0,0
1069,University of Michigan - Ann Arbor (UM),Program in Chemical Biology,1.37,2018-2019,5th,,5,2018,31716,31716,0,0,31716,Program in Chemical Biology,Other,low,0,0
1070,Indiana University,Folklore,0.67,2014-2015,4th,,4,2014,11450,0,12500,0,12500,Folklore,Other,high,1050,1050
1071,Indiana University,Folklore,0.81,2013-2014,3rd,,3,2013,13950,0,15000,0,15000,Folklore,Other,high,1050,1050
1072,Indiana University,Folklore,0.81,2012-2013,2nd,,2,2012,13950,0,15000,0,15000,Folklore,Other,high,1050,1050
1073,University of Minnesota - Twin Cities (UM),Epidemiology,1.04,2018-2019,3rd,,3,2018,23878,25927,0,0,25927,Medical,Medical,low,2049,2049
1074,University of Cincinnati (UC),Biomedical Informatics,1.42,2019-2020,2nd,,2,2019,27500,27500,0,0,27500,Biomedical Informatics,Other,low,0,0
1075,Johns Hopkins University (JHU),Public Health,0.47,2018-2019,3rd,"We receive tuition coverage, but NO stipend. Any pay is earned through RA and TA work, or work off campus.",3,2018,12000,12000,0,0,12000,Medical,Medical,low,0,0
1076,University of Michigan - Ann Arbor (UM),Joint PhD for Social Work and Social Science,1.11,2018-2019,1st,,1,2018,25600,26400,0,0,26400,Joint PhD for Social Work and Social Science,Other,low,800,800
1077,New York University (NYU),Center for Neural Science,1.41,2019-2020,4th,The 42000 includes a 6000 housing stipend.,4,2019,42000,42000,0,0,42000,Center for Neural Science,Other,low,0,0
1078,University of Houston (UH),Chemical and Biomolecular Engineering,1.28,2018-2019,4th,,4,2018,28000,28000,0,0,28000,Engineering,Engineering,low,0,0
1080,Massachusetts Institute of Technology (MIT),Media Arts and Sciences,1.38,2018-2019,3rd,"12 month total if working all year as an RA. paid per semester. good health insurance included, although not for dependents or partners. ",3,2018,38484,38484,0,0,38484,Media Arts and Sciences,Other,low,0,0
1081,Rutgers the State University of New Jersey - Newark,School of Criminal Justice ,1.03,2018-2019,2nd,,2,2018,28000,0,28000,0,28000,School of Criminal Justice ,Other,high,0,0
1082,Brown University,Theater Arts & Performance Studies,1.36,2019-2020,1st,,1,2019,30960,31500,0,0,31500,Theater Arts & Performance Studies,Other,low,540,540
1083,University of Michigan - Ann Arbor (UM),History,1.36,2018-2019,1st,"I'm on a graduate school funding structure so I'm paid more upfront than my colleagues, but they will have more funding come year 5/6.",1,2018,31500,0,22000,10000,32000,HistPolSoc,HistPolSoc,high,500,500
1084,Northwestern University (NU),Sociology,1.46,2018-2019,3rd,,3,2018,35500,36000,0,0,36000,HistPolSoc,HistPolSoc,low,500,500
1085,University of Central Florida (UCF),Management,0.97,2018-2019,4th,Tuition paid for ,4,2018,22500,25000,0,0,25000,BusinessAndManagement,BusinessAndManagement,low,2500,2500
1086,Northwestern University (NU),History ,1.3,2019-2020,2nd,,2,2019,31625,32000,0,0,32000,HistPolSoc,HistPolSoc,low,375,375
1087,University of Texas - Austin (UT),History,1.05,2018-2019,3rd,,3,2018,24000,0,24000,0,24000,HistPolSoc,HistPolSoc,high,0,0
1088,Rutgers the State University of New Jersey - New Brunswick,English,1.12,2019-2020,1st,,1,2019,29000,0,25000,5000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,1000,1000
1089,University of Rochester (UR),Biomedical Genetics,1.38,2018-2019,4th,Health insurance included. Dental and vision insurance is not made available to students. ,4,2018,29567,29567,0,0,29567,Biomedical Genetics,Other,low,0,0
1090,Massachusetts Institute of Technology (MIT),Computational Biology,1.42,2019-2020,2nd,Tuition covered.,2,2019,39680,39975,0,0,39975,Computational Biology,Other,low,295,295
1091,Mississippi State University (MSU),"Wildlife, Fisheries and Aquaculture ",1.05,2019-2020,1st,"Health insurance, tuition, and most fees are covered by our department ",1,2019,22890,23000,0,0,23000,"Wildlife, Fisheries and Aquaculture ",Other,low,110,110
1093,University of Massachusetts - Lowell (UML),Criminology and Justice Studies,0.52,2019-2020,2nd,I pay part of my health insurance (380) but the majority of it is covered. I also pay for books and materials obviously.,2,2019,14620,0,15000,0,15000,Criminology and Justice Studies,Other,high,380,380
1094,University of Maryland - College Park (UMD),Neuroscience and Cognitive Science,0.72,2012-2013,1st,"9.5 month assistantship.
Student fees vary by credits registered for. 
Under 10 credits: $403.13/semester 
Over 10 credits: $723.00/semester",1,2012,19810,0,16260,5000,21260,Neuroscience and Cognitive Science,Other,high,1450,1450
1095,University of Florida (UF),Pharmaceutical Outcomes and Policy,1.2,2019-2020,3rd,"If a student is a PharmD, they get paid $4,000-$5,000 more because they teach in the PharmD courses. ",3,2019,27260,28000,0,0,28000,Pharmaceutical Outcomes and Policy,Other,low,740,740
1096,Virginia Tech,civil engineering,2.09,2019-2020,1st,,1,2019,44000,44000,0,0,44000,civil engineering,Other,low,0,0
1097,Harvard University (HU),Population Health Sciences,1.24,2019-2020,4th,,4,2019,35651,35676,0,0,35676,Population Health Sciences,Other,low,25,25
1098,University of Pennsylvania,Chemistry,1.41,2019-2020,1st,,1,2019,34000,34000,0,0,34000,Chemistry,Chemistry,low,0,0
1099,George Washington University (GW),Department of Biological Sciences,0.84,2018-2019,1st,,1,2018,26000,0,26000,0,26000,Department of Biological Sciences,Other,high,0,0
1103,North Carolina State University (NCSU),Plant and microbial biology,0.61,2019-2020,2nd,,2,2019,14000,17000,0,0,17000,Plant and microbial biology,Other,low,3000,3000
1104,Harvard University (HU),Biological Sciences in Public Health,1.39,2019-2020,2nd,,2,2019,39851,39876,0,0,39876,Biological Sciences in Public Health,Other,low,25,25
1106,Carnegie Mellon University (CMU),Chemical Engineering,1.49,2019-2020,1st,,1,2019,30750,31000,0,0,31000,Engineering,Engineering,low,250,250
1107,Washington University in St. Louis (Wash U),Biology,1.48,2019-2020,3rd,,3,2019,30500,30500,0,0,30500,Biology,Biology,low,0,0
1108,Michigan State University (MSU),Psychology ,1.32,2018-2019,2nd,Fellowship level,2,2018,27000,27000,0,0,27000,HistPolSoc,HistPolSoc,low,0,0
1109,University of California - Los Angeles (UCLA),Architecture,1.0,2018-2019,1st,Salary at 25% + stipend + summer teaching/grant (not guaranteed),1,2018,26000,0,18000,8000,26000,Architecture,Other,high,0,0
1112,Indiana University,Music Theory,0.7,2019-2020,1st,Only 96% of my tuition is covered,1,2019,15000,0,18000,0,18000,Music Theory,Other,high,3000,3000
1113,University at Albany - SUNY,Sociology,1.12,2019-2020,4th,,4,2019,25400,0,18000,8000,26000,HistPolSoc,HistPolSoc,high,600,600
1114,University of Kansas (KU),Special Education ,1.41,2011-2012,3rd,"Amount is not taxed, federal fellowship",3,2011,26400,26400,0,0,26400,Special Education ,Other,low,0,0
1115,Yale University (YU),MD/PhD,1.29,2019-2020,2nd,,2,2019,32000,32000,0,0,32000,MD/PhD,Other,low,0,0
1126,Massachusetts Institute of Technology (MIT),Urban Studies and Planning,0.88,2018-2019,2nd,,2,2018,24500,0,28000,0,28000,Urban Studies and Planning,Other,high,3500,3500
1131,Texas Tech University (TTU),Animal and Food Sciences,0.59,2018-2019,4th,,4,2018,12000,18000,0,0,18000,Animal and Food Sciences,Other,low,6000,6000
1134,University of South Carolina (USC),Finance,1.0,2019-2020,4th,,4,2019,22500,23000,0,0,23000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,500,500
1136,California Institute of Technology (Caltech),Bioengineering,1.39,2019-2020,4th,,4,2019,36000,36000,0,0,36000,Engineering,Engineering,low,0,0
1137,University of California - Riverside (UCR),Plant Pathology,1.06,2018-2019,3rd,,3,2018,25600,26800,0,0,26800,Biology,Biology,low,1200,1200
1138,University of California - San Diego (UCSD),Physics,0.1,2019-2020,6th and up,"This is GSR step 7, after advancement to candidacy.",6,2019,2531,2531,0,0,2531,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
1140,Fordham University (FU),Economics,0.8,2018-2019,2nd,,2,2018,23900,0,25100,0,25100,BusinessAndManagement,BusinessAndManagement,high,1200,1200
1141,University of Delaware (UD),Chemical engineering,1.22,2018-2019,3rd,"$396 per spring and fall semesters, summer is around $190
",3,2018,31000,32000,0,0,32000,Chemical engineering,Other,low,1000,1000
1145,Stanford University (SU),Biology,1.54,2019-2020,1st,,1,2019,44100,44500,0,0,44500,Biology,Biology,low,400,400
1146,University of North Carolina - Chapel Hill (UNC),History ,0.84,2019-2020,3rd,,3,2019,18700,0,15700,3000,18700,HistPolSoc,HistPolSoc,high,0,0
1149,Louisiana State University - Baton Rouge,Doctor of Design,0.58,2019-2020,1st,,1,2019,12619,0,14000,0,14000,Doctor of Design,Other,high,1381,1381
1150,Stanford University (SU),History/PhD,1.28,2018-2019,5th,,5,2018,36800,0,30000,7000,37000,History/PhD,Other,high,200,200
1151,Vanderbilt University,Hearing and Speech sciences,1.07,2017-2018,6th and up,,6,2017,24596,24996,0,0,24996,Hearing and Speech sciences,Other,low,400,400
1152,Yeshiva University (YU),Neuroscience,1.11,2018-2019,6th and up,,6,2018,33000,33000,0,0,33000,Medical,Medical,low,0,0
1153,University of Utah,Biomedical Engineering,1.18,2019-2020,5th,,5,2019,26350,28250,0,0,28250,Engineering,Engineering,low,1900,1900
1154,Yale University (YU),Psychology,1.24,2019-2020,3rd,,3,2019,30625,30625,0,0,30625,HistPolSoc,HistPolSoc,low,0,0
1155,University of Southern California (USC),American studies and ethnicity ,1.23,2018-2019,5th,,5,2018,31900,32000,0,0,32000,American studies and ethnicity ,Other,low,100,100
1156,Princeton University,Chemistry,1.5,2016-2017,4th,"NSF GRFP (34k + 4k/year top-up award for external funding). Medical included (student plan), but dental/vision extra. ",4,2016,38000,38000,0,0,38000,Chemistry,Chemistry,low,0,0
1157,University of Michigan - Ann Arbor (UM),Earth and Environmental Science,1.38,2019-2020,2nd,Covers Health insurance too,2,2019,31800,32000,0,0,32000,Earth and Environmental Science,Other,low,200,200
1159,Boston College (BC),Social Work ,0.72,2018-2019,3rd,,3,2018,20000,0,20000,0,20000,Social Work ,Other,high,0,0
1160,University of South Carolina (USC),English  PhR,0.61,2019-2020,1st,,1,2019,13700,0,14400,0,14400,English  PhR,Other,high,700,700
1161,Emory University,Immunology,1.12,2016-2017,3rd,,3,2016,26175,28175,0,0,28175,Medical,Medical,low,2000,2000
1162,University of Virginia (UVA),School of Nursing,0.22,2018-2019,2nd,"Other compensation includes: 
-health insurance stipend for individual student that covers full cost of medical plan.
-payment for a J-term or summer term course as well.",2,2018,5000,0,23858,0,23858,School of Nursing,Other,high,18858,18858
1164,University of Nebraska - Lincoln (NU),Agricultural Economics,0.94,2019-2020,1st,,1,2019,18400,20000,0,0,20000,Agricultural Economics,Other,low,1600,1600
1165,Colorado School of Mines,Civil and environmental engineering,0.89,2018-2019,2nd,,2,2018,20000,20000,0,0,20000,Civil and environmental engineering,Other,low,0,0
1166,University of Chicago (UC),Computer Science,1.48,2019-2020,1st,,1,2019,36000,36000,0,0,36000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
1167,Mount Sinai School of Medicine,Genetics,1.35,2018-2019,6th and up,,6,2018,40000,40000,0,0,40000,Biology,Biology,low,0,0
1168,Wichita State University (WSU),Psychology ,0.55,2018-2019,5th,Provided in-state tuition at 100% coverage but only because I teach four undergraduate courses with up to 90 students. ,5,2018,11000,0,14000,0,14000,HistPolSoc,HistPolSoc,high,3000,3000
1169,University of Utah,Biosciences ,1.28,2019-2020,6th and up,,6,2019,28500,28500,0,0,28500,Biosciences ,Other,low,0,0
1170,Colorado State University (CSU),Chemistry,0.07,2019-2020,4th,,4,2019,1550,2400,0,0,2400,Chemistry,Chemistry,low,850,850
1171,University of Chicago (UC),Political Sciencd,1.06,2019-2020,5th,,5,2019,25800,0,27000,0,27000,Political Sciencd,Other,high,1200,1200
1172,Princeton University,Neuroscience,2.36,2018-2019,2nd,Cohen/PNI,2,2018,60000,60000,0,0,60000,Medical,Medical,low,0,0
1173,University of Texas - Austin (UT),Molecular Biosciences,1.31,2018-2019,4th,,4,2018,30000,30000,0,0,30000,Molecular Biosciences,Other,low,0,0
1174,University of New Mexico (UNM),Biomedical Sciences,1.05,2019-2020,5th,,5,2019,22000,22000,0,0,22000,Medical,Medical,low,0,0
1177,University of California - Santa Cruz,Environmental Studies,0.77,2019-2020,2nd,,2,2019,20775,0,18900,3000,21900,Environmental Studies,Other,high,1125,1125
1179,University of Minnesota - Twin Cities (UM),English,0.87,2019-2020,1st,,1,2019,19900,0,17776,3000,20776,LinguisticsAndCommunication,LinguisticsAndCommunication,high,876,876
1180,University of California - Davis (UCD),Economics,0.06,2019-2020,1st,"My package is tuition/fees covered (except the $200/quarter for 3 quarters in the academic year, noted above) along with the requirement of TAship for the first 4 years. After that we must find our own funding. Usually people earn a PhD after 5/6 years here. ",1,2019,1500,0,2100,0,2100,BusinessAndManagement,BusinessAndManagement,low,600,600
1182,George Washington University (GW),Industrial organizational Psychology ,0.87,2019-2020,2nd,Summer internship,2,2019,26973,0,27000,0,27000,Industrial organizational Psychology ,Other,high,27,27
1184,University of Mississippi (Ole Miss),BioMolecular Sciences,1.08,2018-2019,3rd,,3,2018,23300,23800,0,0,23800,BioMolecular Sciences,Other,low,500,500
1186,Stanford University (SU),"GSB, Finance",1.57,2019-2020,2nd,,2,2019,45000,45000,0,0,45000,"GSB, Finance",Other,low,0,0
1187,Iowa State University (ISU),Human Development & Family Studies,0.84,2019-2020,1st,"The only reason I entered $600 for fees is because that is approx. how much it was before I got my scholarship $750 per semester for the fall & spring of this academic year (2019-2020) approved. Therefore, the fees didnt even touch me. In fact, I even had some money left over and deposited into my account, coming out ahead. Health insurance is also covered.",1,2019,17800,0,18400,0,18400,Human Development & Family Studies,Other,high,600,600
1188,University of California - Los Angeles (UCLA),EEB,1.08,2018-2019,1st,,1,2018,28000,28000,0,0,28000,EEB,Other,low,0,0
1189,University of Pennsylvania,Biomedical Graduate Studies,1.41,2018-2019,1st,,1,2018,34000,34000,0,0,34000,Biomedical Graduate Studies,Other,low,0,0
1190,Duke University (DU),Cognitive Neuroscience,1.63,2019-2020,2nd,"$5,000 of this stipend amount is a bonus from an entrance award, the JB Duke Graduate Fellowship.",2,2019,36250,36250,0,0,36250,Cognitive Neuroscience,Other,low,0,0
1192,Florida Atlantic University (FAU),COS Biology IBN,1.26,2018-2019,1st,,1,2018,30000,30000,0,0,30000,COS Biology IBN,Other,low,0,0
1194,Florida Atlantic University (FAU),COS Biology IB,0.84,2018-2019,1st,,1,2018,20000,20000,0,0,20000,COS Biology IB,Other,low,0,0
1195,Indiana University,Biology/GCDB,1.05,2018-2019,3rd,,3,2018,22600,25000,0,0,25000,Biology/GCDB,Other,low,2400,2400
1196,University of California - Berkeley,English,1.19,2018-2019,1st,,1,2018,33000,33000,0,0,33000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
1197,University of New Orleans (UNO),Biology,0.97,2017-2018,1st,,1,2017,22400,24000,0,0,24000,Biology,Biology,low,1600,1600
1198,University of Colorado - Denver (UCD),Microbiology,1.38,2019-2020,3rd,,3,2019,31000,31000,0,0,31000,Biology,Biology,low,0,0
1200,Georgia State University (GSU),Sociology ,0.37,2013-2014,6th and up,I work in an administrative depot outside my main academic department,6,2013,7700,12000,0,0,12000,HistPolSoc,HistPolSoc,low,4300,4300
1201,Columbia University (CU),Biomedical Engineering,1.35,2019-2020,1st,"I get paid as a research assistant. Im required to TA for two semesters, but we can get paid for TAing additional semesters (maybe $2-3k?). New York is an expensive place to live - I pay $1250/mo in rent and thats on the low end - so many students have side jobs like tutoring or babysitting. ",1,2019,40155,40310,0,0,40310,Engineering,Engineering,low,155,155
1202,University of Chicago (UC),MGCB/CMB,1.37,2019-2020,4th,,4,2019,33152,33652,0,0,33652,MGCB/CMB,Other,low,500,500
1203,University of Delaware (UD),Computer Science,1.37,2019-2020,1st,32k stipend + 3k travel/conference/research expenses,1,2019,34800,35000,0,0,35000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,200,200
1204,University of Wisconsin - Madison (UW),Entomology,0.9,2018-2019,2nd,,2,2018,20550,22000,0,0,22000,Entomology,Other,low,1450,1450
1205,Duquesne University (DU),Biological Sciences,1.28,2019-2020,3rd,,3,2019,26500,26500,0,0,26500,Biology,Biology,low,0,0
1206,University of California - Davis (UCD),Biomedical Engineering,1.25,2019-2020,1st,,1,2019,29900,0,29900,0,29900,Engineering,Engineering,high,0,0
1207,University of Pennsylvania,Genomics & Computational Biology,1.41,2018-2019,3rd,,3,2018,34000,34000,0,0,34000,Genomics & Computational Biology,Other,low,0,0
1208,Ohio State University (OSU),Mechanical Engineering ,1.14,2018-2019,2nd,,2,2018,22800,22800,0,0,22800,Engineering,Engineering,low,0,0
1210,University of North Carolina - Chapel Hill (UNC),Health Behavior,1.01,2018-2019,5th,,5,2018,22500,22500,0,0,22500,Health Behavior,Other,low,0,0
1212,Ohio State University (OSU),WGSS,0.1,2019-2020,1st,"Rough monthly stipend after taxes on Fellowship (there's about a $500 pay cut when transitioning to GTA, which is a 9mo  salary)",1,2019,2058,2058,0,0,2058,WGSS,Other,low,0,0
1213,University of Chicago (UC),School of Social Service Administration ,1.28,2019-2020,2nd,"Pre tax. Tuition, City Public Transport Card with Unlimited Rides, and Medical Health Insurance included ",2,2019,31000,0,31000,0,31000,School of Social Service Administration ,Other,high,0,0
1214,Stevens Institute of Technology,Computer Science,1.24,2019-2020,1st,,1,2019,33000,0,24000,12000,36000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,3000,3000
1215,University of Colorado - Boulder (UCB),Communication ,0.13,2019-2020,2nd,,2,2019,3240,0,2240,3000,5240,LinguisticsAndCommunication,LinguisticsAndCommunication,low,2000,2000
1216,Georgia Institute of Technology (Georgia Tech),Environmental engineering,1.16,2019-2020,3rd,,3,2019,27000,30000,0,0,30000,Environmental engineering,Other,low,3000,3000
1217,Baylor College of Medicine,Immunology and Microbiology,1.52,2018-2019,1st,,1,2018,33300,33500,0,0,33500,Immunology and Microbiology,Other,low,200,200
1220,University of Tennessee - Knoxville,Earth and planetary science,0.61,2019-2020,1st,,1,2019,13000,0,15000,0,15000,Earth and planetary science,Other,high,2000,2000
1221,Washington State University (WSU),Human Development,0.69,2019-2020,4th,,4,2019,13120,0,15000,0,15000,Human Development,Other,high,1880,1880
