,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
4774,Indiana University- Purdue University - Indianapolis (IUPUI),School of Informatics,1.02,2017-2018,1st,,1,2017,21000,39000,0,0,39000,School of Informatics,Other,low,18000,18000
4775,University of Nevada - Las Vegas (UNLV),civil engineering ,0.74,2017-2018,1st,,1,2017,16750,0,16750,0,16750,civil engineering ,Other,high,0,0
4776,University of Florida (UF),Biomedical Sciences ,1.29,2017-2018,1st,"My program pays my semester fees (~$740) for spring summer and fall, and I also receive comprehensive health insurance at no out of pocket cost. ",1,2017,29400,29400,0,0,29400,Biomedical Sciences ,Other,low,0,0
4777,University of Massachusetts - Amherst (UMass),English,0.81,2016-2017,3rd,,3,2016,18494,0,19174,0,19174,LinguisticsAndCommunication,LinguisticsAndCommunication,high,680,680
4778,Virginia Tech,Psychology,1.17,2016-2017,5th,,5,2016,24700,25000,0,0,25000,HistPolSoc,HistPolSoc,low,300,300
4779,Duke University (DU),Cognitive Neuroscience Admitting Program,1.56,2014-2015,1st,,1,2014,29420,29420,0,0,29420,Cognitive Neuroscience Admitting Program,Other,low,0,0
4781,University of Massachusetts - Amherst (UMass),Neuroscience and behavior ,1.1,2017-2018,4th,Required fees are servicing fees ,4,2017,25200,26000,0,0,26000,Neuroscience and behavior ,Other,low,800,800
4782,University of Illinois - Urbana- Champaign (UIUC),English,1.14,2016-2017,1st,,1,2016,25000,25000,0,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4784,University of Illinois - Urbana- Champaign (UIUC),English,0.99,2016-2017,1st,,1,2016,21817,21817,0,0,21817,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4785,Loyola University Chicago (LUC),English,0.82,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4786,University of Chicago (UC),English,0.74,2016-2017,1st,,1,2016,18000,18000,0,0,18000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4787,University of Chicago (UC),English,1.24,2016-2017,1st,,1,2016,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4788,University of Chicago (UC),English,1.36,2016-2017,1st,,1,2016,33000,33000,0,0,33000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4789,University of Hawaii - Manoa (UH),English,0.63,2016-2017,1st,,1,2016,19200,19200,0,0,19200,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4790,Georgia State University (GSU),English,0.64,2016-2017,1st,,1,2016,15000,15000,0,0,15000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4791,University of Georgia (UGA),English,0.79,2016-2017,1st,,1,2016,16700,16700,0,0,16700,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4792,Emory University,English,1.03,2016-2017,1st,,1,2016,24000,24000,0,0,24000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4793,University of South Florida (UCF),English,0.68,2016-2017,1st,,1,2016,15000,15000,0,0,15000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4794,University of Miami (UM),English,0.92,2016-2017,1st,,1,2016,22000,22000,0,0,22000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4795,Florida State University (FSU),English,0.94,2016-2017,1st,,1,2016,22000,22000,0,0,22000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4796,University of Florida (UF),English,0.77,2016-2017,1st,,1,2016,17400,17400,0,0,17400,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4797,University of Delaware (UD),English,0.95,2016-2017,1st,,1,2016,24000,24000,0,0,24000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4798,Washington University in St. Louis (Wash U),English,1.25,2016-2017,1st,,1,2016,25860,25860,0,0,25860,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4799,Washington University in St. Louis (Wash U),English,1.13,2016-2017,1st,,1,2016,23360,23360,0,0,23360,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4800,University of Delaware (UD),English,0.79,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4802,Howard University (HU),English,0.55,2016-2017,1st,,1,2016,17000,17000,0,0,17000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4803,George Washington University (GW),English,0.75,2016-2017,1st,,1,2016,23000,23000,0,0,23000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4804,The Catholic University of America,English,0.58,2016-2017,1st,,1,2016,18000,18000,0,0,18000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4805,Yale University (YU),English,1.22,2016-2017,1st,,1,2016,30225,30225,0,0,30225,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
